property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,"-12.972996,-38.47842",54,79573.11
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",225,254587.15
apartment,|Brasil|Bahia|Salvador|Pituaçu|,Northeast,"-12.964468,-38.417938",75,177931.09
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,,75,106382.38
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",75,107713.59
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,,150,235146.35
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.941992,-38.403465",243,470485.55
house,|Brasil|Bahia|Lençóis|Centro|,Northeast,"-12.385784,-41.320999",99,87374.39
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",68,137302.62
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",66,122436.49
apartment,|Brasil|Bahia|Salvador|Imbuí|,Northeast,"-12.973443,-38.431145",63,121127.12
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",90,204926.35
apartment,|Brasil|Bahia|Salvador|Alphaville I|,Northeast,"-12.941992,-38.403465",76,140423.14
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.937969,-38.381538",83,153352.36
apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,"-12.974552,-38.496819",76,99856.45
house,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|,Northeast,"-12.852844,-38.32711",70,78012.85
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.991246,-38.492966",67,137674.59
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",56,99683.89
house,|Brasil|Bahia|Camaçari|,Northeast,,75,78012.85
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",83,221393.62
apartment,|Brasil|Bahia|Salvador|Paralela|,Northeast,"-12.957254,-38.429649",83,206020.72
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",90,292482.05
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",89,149507.27
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.98223,-38.43898",70,164886.72
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.98223,-38.43898",61,121700.05
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.009679,-38.486305",122,187230.85
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.949672,-38.409973",80,132517
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",240,343256.56
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",106,171628.28
apartment,|Brasil|Bahia|Salvador|Horto Florestal|,Northeast,"-13.000164,-38.489021",132,348481.86
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,,133,260112.33
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.984901,-38.439594",133,267153.15
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.994164,-38.518372",76,165948.63
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.994164,-38.518372",76,173566.12
house,|Brasil|Bahia|Salvador|,Northeast,,110,84253.88
apartment,|Brasil|Bahia|Salvador|Costa Azul|,Northeast,"-12.992462,-38.444553",100,81133.37
house,|Brasil|Bahia|Lauro de Freitas|Miragem|,Northeast,,120,131061.59
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,,127,187230.85
house,|Brasil|Bahia|Salvador|Itapuã|,Northeast,,240,133558.01
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",66,131061.59
apartment,|Brasil|Bahia|Salvador|Armação|,Northeast,"-12.981397,-38.441444",93,109217.99
house,|Brasil|Bahia|Saubara|,Northeast,"-12.7732,-38.789162",120,81133.37
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",110,112338.51
house,|Brasil|Bahia|Lauro de Freitas|Miragem|,Northeast,"-12.852844,-38.32711",151,118579.54
apartment,|Brasil|Bahia|Salvador|Itapuã|,Northeast,"-12.938337,-38.362667",85,90494.91
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",115,152905.19
apartment,|Brasil|Bahia|Salvador|Rio Vermelho|,Northeast,"-13.001169,-38.49419",58,109217.99
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",191,207514.19
apartment,|Brasil|Bahia|Salvador|Vila Laura|,Northeast,,61,116020.72
house,|Brasil|Bahia|Salvador|,Northeast,,244,393184.79
apartment,|Brasil|Bahia|Salvador|Patamares|,Northeast,"-12.958966,-38.405651",170,202833.42
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.9349962,-38.3576186",67,215647.81
apartment,|Brasil|Bahia|Salvador|Graça|,Northeast,"-12.998506,-38.52309",185,138862.88
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",56,81133.37
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,,80,118579.54
apartment,|Brasil|Bahia|Salvador|Barra|,Northeast,"-13.004878,-38.532276",95,109217.99
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.996323,-38.481049",120,112338.51
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",110,112338.51
